89	NOTEX	Oct 20, 2017	10.71	Jul 24, 2017	10.66	0.46903992	10.72	-0.09328461
90	VBLTX	Oct 20, 2017	14.12	Jul 24, 2017	14.05	0.49822235	14.27	-1.0511551
91	FFKAX	Sep 13, 2017	12.04	Jun 14, 2017	11.98	0.5008316	12.02	0.16638184
92	LQD	Oct 20, 2017	121.06	Jul 24, 2017	120.45	0.5064392	121.58	-0.42770386
93	DODIX	Oct 20, 2017	13.81	Jul 24, 2017	13.74	0.5094681	13.85	-0.28881073
94	SWNTX	Oct 20, 2017	11.76	Jul 24, 2017	11.7	0.512825	11.77	-0.08496857
95	MDXBX	Oct 20, 2017	10.79	Jul 24, 2017	10.73	0.55918884	10.8	-0.09259796
96	FCVSX	Oct 20, 2017	28.24	Jul 24, 2017	28.08	0.5697937	28.18	0.21292114
97	USSTX	Oct 20, 2017	10.51	Jul 24, 2017	10.45	0.574173	10.5	0.09523773
98	PRVAX	Oct 20, 2017	12.04	Jul 24, 2017	11.97	0.5847931	12.04	0.0
99	BND	Oct 20, 2017	81.69	Jul 24, 2017	81.21	0.59106445	82.05	-0.43875885
100	PRNYX	Oct 20, 2017	11.7	Jul 24, 2017	11.63	0.60189056	11.71	-0.08540344
101	GTFBX	Oct 20, 2017	11.54	Jul 24, 2017	11.47	0.6102829	11.55	-0.08657837
102	FSFFX	Sep 06, 2017	12.97	Jun 07, 2017	12.89	0.620636	12.97	0.0
103	USVAX	Oct 20, 2017	11.33	Jul 24, 2017	11.26	0.62166595	11.33	0.0
104	EMLC	Oct 20, 2017	18.96	Jul 24, 2017	18.84	0.6369324	19.13	-0.8886566
105	KYTFX	Oct 20, 2017	7.78	Jul 24, 2017	7.73	0.6468277	7.79	-0.12836456
106	TIXRX	Oct 20, 2017	10.49	Jul 24, 2017	10.42	0.67178345	10.49	0.0
107	IGOV	Oct 20, 2017	48.96	48.88 37,500 Jul	48.63	0.67858887	49.42	-0.9308014
108	PTTDX	Oct 20, 2017	10.28	Jul 24, 2017	10.21	0.68559265	10.34	-0.5802765
109	FIMIX	Oct 20, 2017	11.68	Jul 24, 2017	11.6	0.6896515	11.67	0.08568573
110	IHE	Oct 20, 2017	158.68	Jul 24, 2017	157.59	0.69166565	157.88	0.50671387
111	FCBFX	Oct 20, 2017	11.63	Jul 24, 2017	11.55	0.6926422	11.69	-0.51325226
112	ICF	Oct 20, 2017	101.39	Jul 24, 2017	100.67	0.71520996	102.74	-1.3139954
113	WIP	Oct 20, 2017	56.9	Jul 24, 2017	56.49	0.72579193	57.49	-1.026268
114	FFRHX	Oct 20, 2017	9.66	Jul 24, 2017	9.59	0.72991943	9.65	0.103630066
115	VMATX	Oct 20, 2017	10.83	Jul 24, 2017	10.75	0.7441864	10.84	-0.09224701
116	FPCIX	Oct 20, 2017	10.66	Jul 24, 2017	10.58	0.75614166	10.68	-0.18727112
117	VCAIX	Oct 20, 2017	11.85	Jul 24, 2017	11.76	0.7653122	11.86	-0.08431244
118	DRTAX	Oct 20, 2017	11.81	Jul 24, 2017	11.72	0.76792145	11.82	-0.08459473
119	PRXCX	Oct 20, 2017	11.57	Jul 24, 2017	11.48	0.78396606	11.58	-0.08635712
120	FICNX	Oct 20, 2017	11.48	Jul 24, 2017	11.39	0.7901535	11.46	0.17450714
121	PRTAX	Oct 20, 2017	10.19	Jul 24, 2017	10.11	0.7912979	10.19	0.0
122	USCBX	Oct 20, 2017	11.08	Jul 24, 2017	10.99	0.8189316	11.09	-0.09017944
123	FKTWX	Sep 13, 2017	15.81	Jun 14, 2017	15.68	0.8290787	15.79	0.12666321
124	FTFMX	Oct 20, 2017	13.36	Jul 24, 2017	13.25	0.83018494	13.33	0.22505188
125	PBDDX	Oct 20, 2017	10.62	Jul 24, 2017	10.53	0.8547058	10.67	-0.46860504
126	FLTMX	Oct 20, 2017	10.44	Jul 24, 2017	10.35	0.86956024	10.44	0.0
127	NTFIX	Oct 20, 2017	11.58	Jul 24, 2017	11.48	0.8710861	11.59	-0.08628082
128	FIBFX	Sep 06, 2017	11.35	Jun 07, 2017	11.25	0.8888931	11.35	0.0
129	FPXTX	Oct 20, 2017	11.23	Jul 24, 2017	11.13	0.898468	11.21	0.17840576
130	GASFX	Oct 20, 2017	30.32	Jul 24, 2017	30.05	0.89850616	30.32	0.0
131	FOHFX	Oct 20, 2017	12.27	Jul 24, 2017	12.16	0.9046097	12.23	0.32707214
