117	PLMDX	Dec 01, 2017	9.35	Sep 01, 2017	9.36	-0.10682678	9.37	-0.21344757
118	USSTX	Dec 01, 2017	10.47	Sep 01, 2017	10.48	-0.09541321	10.48	-0.09541321
119	BCHYX	Dec 01, 2017	10.57	Sep 01, 2017	10.58	-0.09452057	10.61	-0.37700653
120	FTBFX	Dec 01, 2017	10.67	Sep 01, 2017	10.68	-0.09363556	10.67	0.0
121	VMATX	Dec 01, 2017	10.8	Sep 01, 2017	10.81	-0.09250641	10.78	0.18553925
122	FSIGX	Dec 01, 2017	11.28	Sep 01, 2017	11.29	-0.08857727	11.29	-0.08857727
123	VCITX	Dec 01, 2017	12.16	Sep 01, 2017	12.17	-0.08216858	12.15	0.08230591
124	FFIPX	Sep 06, 2017	9.93	Jun 07, 2017	9.93	0.0	9.93	0.0
125	SWHFX	Dec 01, 2017	25.87	Sep 01, 2017	25.86	0.0386734	25.55	1.252449
126	FIPAX	Dec 01, 2017	11.93	Sep 01, 2017	11.92	0.08390045	11.92	0.08390045
127	NHINX	Dec 01, 2017	8.7	Sep 01, 2017	8.69	0.11507416	8.7	0.0
128	PRPFX	Dec 01, 2017	41.24	Sep 01, 2017	41.19	0.1213913	41.37	-0.31423187
129	VOHIX	Dec 01, 2017	12.62	Sep 01, 2017	12.6	0.15872955	12.6	0.15872955
130	VUSTX	Dec 01, 2017	12.38	Sep 01, 2017	12.36	0.16181183	12.38	0.0
131	USVAX	Dec 01, 2017	11.32	Sep 01, 2017	11.3	0.1769867	11.31	0.088409424
132	FCNVX	Dec 01, 2017	10.04	Sep 01, 2017	10.02	0.19959259	10.04	0.0
133	FSHFX	Sep 06, 2017	9.66	Jun 07, 2017	9.64	0.2074585	9.66	0.0
134	USTEX	Dec 01, 2017	13.4	Sep 01, 2017	13.37	0.22437286	13.38	0.1494751
135	FLBAX	Dec 01, 2017	13.26	Sep 01, 2017	13.23	0.22676086	13.26	0.0
136	FFKVX	Sep 13, 2017	13.25	Jun 14, 2017	13.22	0.22692871	13.23	0.15116882
137	VIPSX	Dec 01, 2017	13.18	Sep 01, 2017	13.15	0.22814178	13.17	0.075935364
138	TIP	Dec 01, 2017	113.61	Sep 01, 2017	113.35	0.22938538	113.64	-0.026397705
139	PRULX	Dec 01, 2017	12.79	Sep 01, 2017	12.76	0.23510742	12.79	0.0
140	FRIFX	Dec 01, 2017	12.28	Sep 01, 2017	12.25	0.2448883	12.31	-0.24371338
141	FINPX	Dec 01, 2017	12.09	Sep 01, 2017	12.06	0.24875641	12.07	0.16570282
142	FNJHX	Dec 01, 2017	11.89	Sep 01, 2017	11.86	0.2529602	11.89	0.0
143	SWRSX	Dec 01, 2017	11.14	Sep 01, 2017	11.11	0.2700348	11.14	0.0
144	RYGBX	Dec 01, 2017	53.9	Sep 01, 2017	53.73	0.31640625	53.92	-0.037086487
145	PRFHX	Dec 01, 2017	12.04	Sep 01, 2017	12.0	0.33333588	12.03	0.08312225
146	PRIPX	Dec 01, 2017	12.01	Sep 01, 2017	11.97	0.33416748	12.0	0.08333588
147	VWAHX	Dec 01, 2017	11.39	Sep 01, 2017	11.35	0.352417	11.38	0.087882996
148	JNK	Dec 01, 2017	36.75	Sep 01, 2017	36.62	0.35500336	36.82	-0.19011688
149	DODIX	Dec 01, 2017	13.85	Sep 01, 2017	13.8	0.36232758	13.84	0.072250366
150	PBDDX	Dec 01, 2017	10.63	Sep 01, 2017	10.59	0.37771606	10.64	-0.09398651
151	FSRIX	Dec 01, 2017	12.61	Sep 01, 2017	12.56	0.39808655	12.62	-0.07923889	*BT*
152	FFKDX	Sep 13, 2017	14.94	Jun 14, 2017	14.88	0.40322876	14.92	0.13404846
153	ROOF	Dec 01, 2017	27.0	Sep 01, 2017	26.89	0.4090805	27.27	-0.99009705
154	NBB	Dec 01, 2017	21.69	Sep 01, 2017	21.6	0.41667175	21.74	-0.2299881
155	FCBFX	Dec 01, 2017	11.65	Sep 01, 2017	11.6	0.43102264	11.65	0.0
156	SMTFX	Dec 01, 2017	10.47	Sep 01, 2017	10.42	0.47985077	10.45	0.19139099
157	FFKAX	Sep 13, 2017	12.04	Jun 14, 2017	11.98	0.5008316	12.02	0.16638184
158	GVPIX	Dec 01, 2017	55.86	Sep 01, 2017	55.58	0.50377655	55.9	-0.07155609
159	SJNK	Dec 01, 2017	27.59	Sep 01, 2017	27.45	0.51000977	27.62	-0.10861969
160	GABUX	Dec 01, 2017	9.61	Sep 01, 2017	9.56	0.52301025	9.54	0.73374176
161	FSICX	Dec 01, 2017	11.16	Sep 01, 2017	11.1	0.54052734	11.16	0.0
162	FSPHX	Dec 01, 2017	231.87	Sep 01, 2017	230.59	0.5550995	229.08	1.2179108
163	FBT	Dec 01, 2017	125.58	Sep 01, 2017	124.81	0.61694336	124.34	0.9972687
164	FSFFX	Sep 06, 2017	12.97	Jun 07, 2017	12.89	0.620636	12.97	0.0
165	FFRHX	Dec 01, 2017	9.63	Sep 01, 2017	9.57	0.6269684	9.63	0.0
166	MNBAX	Dec 01, 2017	18.18	Sep 01, 2017	18.05	0.7202301	18.25	-0.38356018
167	LQD	Dec 01, 2017	120.72	Sep 01, 2017	119.85	0.725914	120.87	-0.12409973
168	FKTWX	Sep 13, 2017	15.81	Jun 14, 2017	15.68	0.8290787	15.79	0.12666321
169	PFODX	Dec 01, 2017	10.73	Sep 01, 2017	10.64	0.84586334	10.73	0.0
