121	USCBX	Oct 13, 2017	11.09	Jul 17, 2017	10.95	1.2785416	11.06	0.27124786
122	VCAIX	Oct 13, 2017	11.86	Jul 17, 2017	11.71	1.2809525	11.82	0.33840942
123	DRTAX	Oct 13, 2017	11.82	Jul 17, 2017	11.67	1.2853394	11.79	0.25445557
124	NCATX	Oct 13, 2017	11.68	Jul 17, 2017	11.53	1.3009567	11.64	0.3436432
125	PLMDX	Oct 13, 2017	9.31	Jul 17, 2017	9.19	1.3057709	9.26	0.53995514
126	PRXCX	Oct 13, 2017	11.58	Jul 17, 2017	11.43	1.3123245	11.55	0.2597351
127	FDMMX	Oct 13, 2017	12.25	Jul 17, 2017	12.09	1.3234024	12.2	0.40984344
128	PFODX	Oct 13, 2017	10.64	Jul 17, 2017	10.5	1.3333282	10.63	0.094078064
129	ICF	Oct 13, 2017	102.74	Jul 17, 2017	101.37	1.3514786	100.9	1.8235779
130	USTEX	Oct 13, 2017	13.42	Jul 17, 2017	13.24	1.35952	13.39	0.2240448
131	FCTFX	Oct 13, 2017	13.04	Jul 17, 2017	12.86	1.3996964	12.99	0.3849182
132	NTFIX	Oct 13, 2017	11.59	Jul 17, 2017	11.43	1.399826	11.55	0.34631348
133	VMATX	Oct 13, 2017	10.84	Jul 17, 2017	10.69	1.4031906	10.79	0.46339417
134	BND	Oct 13, 2017	82.05	Jul 17, 2017	80.91	1.4089737	81.65	0.48989868
135	PRINX	Oct 13, 2017	11.96	Jul 17, 2017	11.79	1.4418945	11.92	0.3355713
136	USATX	Oct 13, 2017	13.36	Jul 17, 2017	13.17	1.4426727	13.34	0.1499176
137	BCLTX	Oct 13, 2017	11.69	Jul 17, 2017	11.52	1.4756927	11.66	0.25728607
138	JDD	Oct 13, 2017	12.9	Jul 17, 2017	12.71	1.4948883	12.8	0.78125	*P*
139	FPUKX	Oct 13, 2017	22.84	Jul 17, 2017	22.5	1.5111084	23.36	-2.2260284
140	PRFHX	Oct 13, 2017	12.06	Jul 17, 2017	11.88	1.515152	12.02	0.3327713
141	PBDDX	Oct 13, 2017	10.64	Jul 17, 2017	10.48	1.5267258	10.62	0.18832397
142	FIKFX	Oct 13, 2017	11.93	Jul 17, 2017	11.75	1.5319214	11.89	0.33641815
143	FPURX	Oct 13, 2017	22.86	Jul 17, 2017	22.51	1.5548706	23.37	-2.1822891
144	PTTDX	Oct 13, 2017	10.34	Jul 17, 2017	10.18	1.571701	10.3	0.38835144
145	FFKHX	Sep 13, 2017	17.93	Jun 14, 2017	17.65	1.5864029	17.9	0.16759491
146	FFKGX	Sep 13, 2017	17.78	Jun 14, 2017	17.5	1.6000061	17.76	0.11261749
147	FSRRX	Oct 13, 2017	8.88	Jul 17, 2017	8.74	1.6018372	8.8	0.90908813
148	VOHIX	Oct 13, 2017	12.67	Jul 17, 2017	12.47	1.6038437	12.61	0.47581482
149	NKX	Oct 13, 2017	15.79	Jul 17, 2017	15.54	1.6087494	15.61	1.1531143	*P*
150	BCHYX	Oct 13, 2017	10.63	Jul 17, 2017	10.46	1.6252365	10.6	0.2830124
151	FASIX	Oct 13, 2017	13.63	Jul 17, 2017	13.41	1.6405716	13.57	0.44216156
152	FRIFX	Oct 13, 2017	12.33	Jul 17, 2017	12.13	1.6488037	12.25	0.6530609
153	VPAIX	Oct 13, 2017	11.66	Jul 17, 2017	11.47	1.6564941	11.62	0.34423065
154	JQC	Oct 13, 2017	8.48	Jul 17, 2017	8.34	1.6786423	8.45	0.35502625
155	FBCVX	Oct 13, 2017	18.75	Jul 17, 2017	18.44	1.6811218	18.82	-0.37194824	*P*
156	FPIOX	Oct 13, 2017	9.67	Jul 17, 2017	9.51	1.6824341	9.68	-0.10330963
157	FFSTX	Sep 06, 2017	17.44	Jun 07, 2017	17.15	1.6909714	17.44	0.0
158	VWLTX	Oct 13, 2017	11.71	Jul 17, 2017	11.51	1.7376175	11.66	0.42881775
159	FCBFX	Oct 13, 2017	11.69	Jul 17, 2017	11.49	1.7406464	11.63	0.51589966
160	VCITX	Oct 13, 2017	12.22	Jul 17, 2017	12.01	1.7485352	12.17	0.4108429
161	FCSFX	Sep 06, 2017	5.23	Jun 07, 2017	5.14	1.7509689	5.23	0.0
