119	VMATX	Oct 27, 2017	10.79	Jul 31, 2017	10.75	0.37208557	10.83	-0.36934662
120	FTFMX	Oct 27, 2017	13.31	Jul 31, 2017	13.26	0.37706757	13.36	-0.3742447
121	USSTX	Oct 27, 2017	10.5	Jul 31, 2017	10.46	0.38240814	10.51	-0.09514618
122	FLTMX	Oct 27, 2017	10.41	Jul 31, 2017	10.37	0.38572693	10.44	-0.28735352
123	PRTAX	Oct 27, 2017	10.16	Jul 31, 2017	10.12	0.39526367	10.19	-0.29440308
124	FFKDX	Sep 13, 2017	14.94	Jun 14, 2017	14.88	0.40322876	14.92	0.13404846
125	FDMMX	Oct 27, 2017	12.21	Jul 31, 2017	12.16	0.41118622	12.26	-0.40782928
126	DRTAX	Oct 27, 2017	11.77	Jul 31, 2017	11.72	0.4266281	11.81	-0.33869934
127	VBLTX	Oct 27, 2017	14.06	Jul 31, 2017	14.0	0.42856598	14.12	-0.42492676
128	NTFIX	Oct 27, 2017	11.54	Jul 31, 2017	11.49	0.4351654	11.58	-0.34542084
129	PRXCX	Oct 27, 2017	11.53	Jul 31, 2017	11.48	0.43554688	11.57	-0.34571838
130	FMHTX	Oct 27, 2017	12.22	Jul 31, 2017	12.16	0.49341583	12.26	-0.32626343
131	VCITX	Oct 27, 2017	12.16	Jul 31, 2017	12.1	0.49586487	12.22	-0.4909973
132	FFKAX	Sep 13, 2017	12.04	Jun 14, 2017	11.98	0.5008316	12.02	0.16638184
133	FWRLX	Oct 27, 2017	9.95	Jul 31, 2017	9.9	0.50505066	9.91	0.40363312	*P*
134	PRINX	Oct 27, 2017	11.92	Jul 31, 2017	11.86	0.5058975	11.96	-0.33444977
135	FCBFX	Oct 27, 2017	11.62	Jul 31, 2017	11.56	0.5190277	11.63	-0.08598328
136	USTEX	Oct 27, 2017	13.38	Jul 31, 2017	13.31	0.52591705	13.43	-0.3722992
137	FCTFX	Oct 27, 2017	13.0	Jul 31, 2017	12.93	0.5413742	13.06	-0.45941925
138	SMTFX	Oct 27, 2017	10.46	Jul 31, 2017	10.4	0.5769272	10.49	-0.28598022
139	PRFHX	Oct 27, 2017	12.01	Jul 31, 2017	11.94	0.5862732	12.06	-0.41459656
140	BND	Oct 27, 2017	81.63	Jul 31, 2017	81.14	0.60388947	81.69	-0.07345581
141	VWLTX	Oct 27, 2017	11.65	Jul 31, 2017	11.58	0.60448456	11.7	-0.4273529
142	VPAIX	Oct 27, 2017	11.6	Jul 31, 2017	11.53	0.6071243	11.66	-0.51457214
143	FVDFX	Oct 27, 2017	27.88	Jul 31, 2017	27.71	0.6134949	28.07	-0.6768799
144	FSFFX	Sep 06, 2017	12.97	Jun 07, 2017	12.89	0.620636	12.97	0.0
145	LQD	Oct 27, 2017	120.91	Jul 31, 2017	120.15	0.6325455	121.06	-0.12390137
146	VOHIX	Oct 27, 2017	12.62	Jul 31, 2017	12.54	0.63796234	12.67	-0.39463806
147	FSRIX	Oct 27, 2017	12.58	Jul 31, 2017	12.5	0.6399994	12.62	-0.3169632	*BT*
148	FVDKX	Oct 27, 2017	27.9	Jul 31, 2017	27.72	0.649353	28.08	-0.6410217
149	YAFFX	Oct 27, 2017	22.16	Jul 31, 2017	22.01	0.6815109	22.26	-0.44924164
150	FTABX	Oct 27, 2017	11.56	Jul 31, 2017	11.48	0.6968765	11.61	-0.43065643
151	FSICX	Oct 27, 2017	11.13	Jul 31, 2017	11.05	0.72398376	11.16	-0.2688141
152	PBDDX	Oct 27, 2017	10.61	Jul 31, 2017	10.53	0.7597351	10.62	-0.09416199
153	BCHYX	Oct 27, 2017	10.59	Jul 31, 2017	10.51	0.76117706	10.63	-0.376297
154	FHIGX	Oct 27, 2017	13.23	Jul 31, 2017	13.13	0.7616043	13.28	-0.376503
155	FKTWX	Sep 13, 2017	15.81	Jun 14, 2017	15.68	0.8290787	15.79	0.12666321
156	USATX	Oct 27, 2017	13.34	Jul 31, 2017	13.23	0.8314514	13.38	-0.2989502
157	JNK	Oct 27, 2017	37.23	Jul 31, 2017	36.92	0.83966064	37.32	-0.24115753
158	VWESX	Oct 27, 2017	10.54	Jul 31, 2017	10.45	0.86125183	10.57	-0.2838211
159	VWAHX	Oct 27, 2017	11.37	Jul 31, 2017	11.27	0.88731384	11.42	-0.4378357
160	FIBFX	Sep 06, 2017	11.35	Jun 07, 2017	11.25	0.8888931	11.35	0.0
161	SJNK	Oct 27, 2017	27.91	Jul 31, 2017	27.66	0.9038315	27.97	-0.21450806
162	FFIGX	Sep 06, 2017	15.58	Jun 07, 2017	15.44	0.9067383	15.58	0.0
163	FFKEX	Sep 13, 2017	16.31	Jun 14, 2017	16.16	0.9282074	16.28	0.18426514
164	JPI	Oct 27, 2017	24.96	Jul 31, 2017	24.73	0.9300461	25.56	-2.3474197
165	FPIOX	Oct 27, 2017	9.67	Jul 31, 2017	9.58	0.9394684	9.69	-0.20639038
166	PAUDX	Oct 27, 2017	8.94	Jul 31, 2017	8.85	1.0169373	8.97	-0.3344574
167	FSRRX	Oct 27, 2017	8.86	Jul 31, 2017	8.77	1.0262146	8.84	0.22623444
168	FASIX	Oct 27, 2017	13.6	Jul 31, 2017	13.46	1.040123	13.6	0.0
169	PRPFX	Oct 27, 2017	40.78	Jul 31, 2017	40.36	1.0406265	41.1	-0.77858734
170	JPS	Oct 27, 2017	10.22	Jul 31, 2017	10.11	1.0880356	10.31	-0.87294006	*P*
171	FIREX	Oct 27, 2017	11.05	Jul 31, 2017	10.93	1.0978928	11.23	-1.6028442
172	SPHIX	Oct 27, 2017	9.03	Jul 31, 2017	8.93	1.1198196	9.04	-0.11061859
173	FIUIX	Oct 27, 2017	27.02	Jul 31, 2017	26.72	1.122757	26.9	0.44610596
174	FHIFX	Oct 27, 2017	8.77	Jul 31, 2017	8.67	1.1534119	8.78	-0.11388397
175	JPC	Oct 27, 2017	10.51	Jul 31, 2017	10.39	1.1549606	10.61	-0.9425049
176	FFVNX	Sep 06, 2017	10.45	Jun 07, 2017	10.33	1.1616592	10.45	0.0
177	FEDFX	Sep 06, 2017	10.42	Jun 07, 2017	10.3	1.1650467	10.42	0.0
178	FIAFX	Oct 27, 2017	11.27	Jul 31, 2017	11.14	1.1669617	11.27	0.0	*BT*
179	FFKFX	Sep 13, 2017	17.17	Jun 14, 2017	16.97	1.1785507	17.14	0.17503357
180	FIKFX	Oct 27, 2017	11.92	Jul 31, 2017	11.78	1.1884537	11.92	0.0
