135	FLCEX	Jun 07, 2017	13.48	Mar 08, 2017	13.2	2.1212082	1.049469
136	TGFNX	Jun 07, 2017	11.01	Mar 08, 2017	10.78	2.133583	0.090911865
137	FVIIX	Jun 07, 2017	10.32	Mar 08, 2017	10.1	2.178215	0.09698486	*BT*
138	FRIFX	Jun 07, 2017	12.18	Mar 08, 2017	11.92	2.1812057	-0.65252686
139	FSDPX	Jun 07, 2017	81.82	Mar 08, 2017	80.07	2.185585	1.012352	*P*
140	FSTCX	Jun 07, 2017	68.47	Mar 08, 2017	66.99	2.2092972	0.76527405
141	DODIX	Jun 07, 2017	13.85	Mar 08, 2017	13.55	2.2140274	0.14461517
142	FHIFX	Jun 07, 2017	8.69	Mar 08, 2017	8.5	2.2352905	0.0
143	FIRNX	Jun 07, 2017	60.75	Mar 08, 2017	59.41	2.2555084	0.24752808
144	FIKFX	Jun 07, 2017	11.75	Mar 08, 2017	11.49	2.2628403	0.2559662
145	IEI	Jun 08, 2017	124.01	Mar 09, 2017	121.26	2.2678528	0.056480408
146	FGOVX	Jun 07, 2017	10.31	Mar 08, 2017	10.08	2.281746	0.19437408
147	FMIMX	Jun 07, 2017	27.31	Mar 08, 2017	26.7	2.2846375	0.3306427
148	FBT	Jun 08, 2017	108.26	Mar 09, 2017	105.84	2.2864685	1.2816925
149	FTBFX	Jun 07, 2017	10.71	Mar 08, 2017	10.47	2.2922668	0.09346008
150	FBMPX	Jun 07, 2017	81.83	Mar 08, 2017	79.99	2.3003006	-0.012214661
151	PSCM	Jun 08, 2017	46.63	Mar 09, 2017	45.58	2.3036346	2.079689
152	YACKX	Jun 07, 2017	23.07	Mar 08, 2017	22.55	2.3059845	0.78637695
153	FSLSX	Jun 07, 2017	41.22	Mar 08, 2017	40.29	2.308258	1.2279053
154	FVSKX	Jun 07, 2017	41.19	Mar 08, 2017	40.26	2.30999	1.2039337
155	FPIOX	Jun 07, 2017	9.63	Mar 08, 2017	9.41	2.337944	0.20811462
156	VFITX	Jun 07, 2017	11.26	Mar 08, 2017	11.0	2.3636322	0.088897705
